SetTemp 	  MeasuredTemp 	 hourDiff 	 minuteDiff 	 Output 
16	21	0	10	20
16	20	1	20	20
16	20	0	44	20
21	20	0	15	20
21	20	0	4	21
21	21	0	9	21
16	21	0	50	20
16	20	1	33	20
16	20	2	20	20
16	20	2	41	19
16	19	0	31	19
21	19	0	0	19
23	19	0	15	20
23	20	0	3	20
23	20	0	5	20
23	20	0	8	21
23	21	0	7	22
23	22	0	5	22
23	22	0	10	22
23	22	0	8	23
23	23	0	23	22
23	22	0	16	23
23	23	0	27	22
23	22	0	16	23
23	23	0	33	22
23	22	0	16	23
23	23	0	9	24
23	24	0	18	23
23	23	0	9	22
23	22	0	14	23
23	23	0	6	24
23	24	0	24	23
23	23	0	11	22
23	22	0	9	22
17	22	0	8	23
17	23	0	23	22
17	22	0	22	22
17	22	0	36	22
17	22	0	51	21
17	21	1	0	20
17	20	1	16	20
17	20	1	22	20
17	20	1	22	20
21	20	0	17	20
21	20	0	4	20
21	20	0	6	21
21	21	0	33	20
21	20	0	16	21
21	21	0	10	22
21	22	0	16	21
21	21	0	11	20
21	20	0	14	21
21	21	0	10	22
21	22	0	19	21
21	21	0	16	20
21	20	0	15	21
21	21	0	6	22
21	22	0	24	21
21	21	0	24	20
21	20	0	15	21
21	21	0	5	22
21	22	0	34	21
21	21	0	48	20
21	20	0	14	21
21	21	0	5	21
16	21	0	3	22
16	22	0	26	21
16	21	0	29	20
16	20	0	44	20
16	20	1	33	20
16	20	1	52	19
16	19	0	59	19
21	19	0	0	19
23	19	0	0	19
17	19	0	0	19
21	19	0	15	20
21	20	0	4	20
21	20	0	4	20
21	20	0	5	21
21	21	0	38	20
21	20	0	14	21
21	21	0	9	22
21	22	0	21	21
21	21	0	0	21
23	21	0	16	22
23	22	0	6	22
23	22	0	5	22
23	22	0	8	23
23	23	0	0	23
17	23	0	0	23
21	23	0	26	22
21	22	0	8	22
21	22	0	24	22
21	22	0	49	21
21	21	0	13	21
17	21	0	40	20
17	20	1	11	20
17	20	1	25	20
17	20	1	28	19
17	19	1	59	18
17	18	0	44	18
21	18	0	15	19
21	19	0	3	20
21	20	0	5	20
21	20	0	6	20
21	20	0	6	21
21	21	0	26	20
21	20	0	8	20
21	20	0	5	20
21	20	0	6	21
21	21	0	28	20
21	20	0	15	21
21	21	0	30	20
21	20	0	14	21
21	21	0	26	20
21	20	0	13	21
21	21	0	5	22
21	22	0	23	21
21	21	0	5	20
21	20	0	13	21
21	21	0	30	20
21	20	0	14	21
21	21	0	4	22
21	22	0	28	21
21	21	0	21	20
21	20	0	15	21
21	21	0	3	22
21	22	0	52	21
21	21	0	48	20
21	20	0	15	21
21	21	0	5	22
21	22	0	29	21
21	21	0	24	20
21	20	0	13	21
21	21	0	5	22
21	22	0	29	21
21	21	0	29	20
21	20	0	14	21
21	21	0	4	22
21	22	0	37	21
21	21	4	57	21
17	21	3	10	20
17	20	1	26	20
17	20	1	52	20
17	20	0	39	20
20	20	0	14	20
20	20	0	4	20
20	20	0	48	20
20	20	0	46	20
22	20	0	17	20
22	20	0	7	21
22	21	0	8	22
22	22	0	16	22
22	22	0	28	22
22	22	0	17	22
22	22	0	28	22
22	22	0	16	22
22	22	0	8	22
22	22	0	37	22
22	22	0	1	22
22	22	0	13	22
22	22	0	4	22
22	22	0	43	22
22	22	0	14	22
22	22	0	13	22
22	22	0	1	22
17	22	0	0	22
20	22	0	4	22
20	22	0	32	22
20	22	0	25	22
22	22	2	13	22
22	22	0	17	22
22	22	0	6	22
22	22	0	25	22
22	22	1	9	22
22	22	0	13	22
22	22	0	3	22
22	22	0	39	22
22	22	4	28	22
17	22	1	10	22
17	22	1	15	21
17	21	1	27	20
17	20	1	48	20
17	20	1	23	20
20	20	1	13	20
20	20	0	15	20
20	20	0	6	20
20	20	0	56	20
20	20	5	42	20
20	20	0	15	20
20	20	0	7	20
20	20	1	15	20
20	20	2	32	20
22	20	0	1	20
22	20	0	13	20
22	20	0	3	20
22	20	0	5	21
22	21	0	4	22
22	22	0	7	22
22	22	0	32	22
22	22	0	16	22
22	22	0	8	22
22	22	0	21	22
22	22	0	7	22
17	22	0	0	22
20	22	0	0	22
22	22	0	7	22
22	22	0	14	22
22	22	0	7	22
22	22	0	25	22
22	22	0	40	22
22	22	0	14	22
22	22	0	3	22
22	22	0	40	22
22	22	0	40	22
22	22	0	5	22
17	22	0	50	21
17	21	1	4	20
17	20	1	24	20
17	20	1	40	20
17	20	1	29	20
20	20	0	17	20
20	20	0	6	20
20	20	0	32	20
20	20	1	7	20
20	20	0	16	20
20	20	0	5	20
20	20	0	38	20
20	20	1	5	20
20	20	0	14	20
20	20	0	4	20
20	20	0	46	20
